table_schema,table_name,column_name,data_type,is_nullable,column_default,pk,fk,foreign_table,foreign_column,column_comment
public,bases,id,uuid,NOT NULL,gen_random_uuid(),PK,,,,
public,bases,nome,text,NOT NULL,null,,,,,
public,bases,codigo,text,NOT NULL,null,,,,,
public,bases,tipo_produto,text,NOT NULL,null,,,,,
public,bases,quantidade_total,numeric,NULL,0,,,,,
public,bases,unidade_produto,text,NULL,'kg'::text,,,,,
public,bases,custo_total_batelada,numeric,NULL,0,,,,,
public,bases,custo_por_kg,numeric,NULL,null,,,,,
public,bases,custo_por_unidade,numeric,NULL,null,,,,,
public,bases,rendimento,text,NULL,null,,,,,
public,bases,tempo_preparo,integer,NULL,null,,,,,
public,bases,data_ficha,date,NULL,CURRENT_DATE,,,,,
public,bases,foto,text,NULL,null,,,,,
public,bases,modo_preparo,text,NULL,null,,,,,
public,bases,observacoes,text,NULL,null,,,,,
public,bases,ativo,boolean,NULL,true,,,,,
public,bases,user_id,uuid,NOT NULL,null,,,,,
public,bases,created_at,timestamp with time zone,NULL,now(),,,,,
public,bases,updated_at,timestamp with time zone,NULL,now(),,,,,
public,bases_insumos,id,uuid,NOT NULL,gen_random_uuid(),PK,,,,
public,bases_insumos,base_id,uuid,NOT NULL,null,,FK,bases,id,
public,bases_insumos,insumo_id,uuid,NOT NULL,null,,FK,insumos,id,
public,bases_insumos,quantidade,numeric,NOT NULL,null,,,,,
public,bases_insumos,unidade,text,NOT NULL,null,,,,,
public,bases_insumos,custo,numeric,NOT NULL,null,,,,,
public,bases_insumos,user_id,uuid,NOT NULL,null,,,,,
public,bases_insumos,created_at,timestamp with time zone,NULL,now(),,,,,
public,fichas_bases,id,uuid,NOT NULL,gen_random_uuid(),PK,,,,
public,fichas_bases,ficha_id,uuid,NOT NULL,null,,FK,fichas_tecnicas,id,
public,fichas_bases,base_id,uuid,NOT NULL,null,,FK,bases,id,
public,fichas_bases,quantidade,numeric,NOT NULL,null,,,,,
public,fichas_bases,unidade,character varying,NOT NULL,null,,,,,
public,fichas_bases,custo_unitario,numeric,NULL,null,,,,,
public,fichas_bases,custo_total,numeric,NULL,null,,,,,
public,fichas_bases,user_id,uuid,NOT NULL,null,,,,,
public,fichas_bases,created_at,timestamp with time zone,NOT NULL,"timezone('utc'::text, now())",,,,,
public,fichas_insumos,id,uuid,NOT NULL,gen_random_uuid(),PK,,,,
public,fichas_insumos,ficha_id,uuid,NOT NULL,null,,FK,fichas_tecnicas,id,
public,fichas_insumos,insumo_id,uuid,NOT NULL,null,,FK,insumos,id,
public,fichas_insumos,quantidade,numeric,NOT NULL,null,,,,,
public,fichas_insumos,unidade,character varying,NOT NULL,null,,,,,
public,fichas_insumos,custo_unitario,numeric,NULL,null,,,,,
public,fichas_insumos,custo_total,numeric,NULL,null,,,,,
public,fichas_insumos,user_id,uuid,NOT NULL,null,,,,,
public,fichas_insumos,created_at,timestamp with time zone,NOT NULL,"timezone('utc'::text, now())",,,,,
public,fichas_tecnicas,id,uuid,NOT NULL,gen_random_uuid(),PK,,,,
public,fichas_tecnicas,nome,character varying,NOT NULL,null,,,,,
public,fichas_tecnicas,codigo,character varying,NULL,null,,,,,
public,fichas_tecnicas,descricao,text,NULL,null,,,,,
public,fichas_tecnicas,categoria,character varying,NULL,null,,,,,
public,fichas_tecnicas,tipo_produto,character varying,NULL,null,,,,,Tipo do produto: produto_pronto ou base_intermediaria
public,fichas_tecnicas,rendimento,numeric,NULL,null,,,,,Quantidade produzida pela receita
public,fichas_tecnicas,unidade_rendimento,character varying,NULL,null,,,,,
public,fichas_tecnicas,tempo_preparo,integer,NULL,null,,,,,Tempo de preparo em minutos
public,fichas_tecnicas,modo_preparo,text,NULL,null,,,,,
public,fichas_tecnicas,custo_total_producao,numeric,NULL,null,,,,,Custo total para produzir a receita completa
public,fichas_tecnicas,custo_por_unidade,numeric,NULL,null,,,,,Custo por unidade produzida
public,fichas_tecnicas,preco_sugerido,numeric,NULL,null,,,,,
public,fichas_tecnicas,margem_contribuicao,numeric,NULL,null,,,,,Margem de contribuição em percentual
public,fichas_tecnicas,observacoes,text,NULL,null,,,,,
